EXPLORATIONWORKTYPE,FILE NAME,FORMAT
Office Studies,,
Literature search,,
Database compilation,,
Computer modelling,,
Reprocessing of data,,
General research,,
Reportpreparation,"Co-Funded Drilling Final Report, Beta Hunt",pdf
"southern offset extension, June 2021.pdf",,
Data review,,
Resource Modelling,,
Airborne Exploration Surveys,,
Aeromagnetics,,
Radiometrics,,
Electromagnetics,,
Gravity,,
Digital terrain modelling,,
Other (specify),,
Remote Sensing,,
Aerial photography,,
LANDSAT,,
SPOT,,
MSS,,
Radar,,
Other (specify),,
Ground Exploration Surveys,,
Geological mapping,,
Regional,,
Reconnaissance,,
Prospect,,
Underground,,
Costean,,
Ground geophysics,,
Radiometrics,,
Magnetics,,
Gravity,,
Digital terrain modelling,,
Electromagnetics,,
SP/AP/EP,,
IP,,
AMT,,
