1.LoW,- low strain zone lacking any significant structure or veining
2.Weak,infrequent narrowveining and/or foliation zones
Weak-,
partitioned zones of foliation to weak shearing ± veining,
Mod,
4.Moderatel-z,zones of weak shearing with associated veining
Mod-,
 shear zones with associated veining and minor hydraulic breccia development,
5,
High,
"- Strong penetrative shearing, often altered with biotite ± albite, with associated veining and hydraulic",
6.High,
breccia development,
Very,
narrow fault / mylonite zones of maximum displacement,
High,
