Epoch,Year,Month,Day,Declination
,,,,
2000.0,2000,0,1,1.032
2000.5,2000,0,1,1.040
2001.0,2001,0,1,1.048
,,,,
2001.5,2001,0,1,1.056
2002.0,2002,0,1,1.065
2002.5,2002,0,1,1.073
2003.0,2003,0,1,1.081
2003.5,2003,0,1,1.089
2004.0,2004,0,1,1.097
2004.5,2004,0,1,1.105
2005.0,2005,0,1,1.160
2005.5,2005,0,1,1.158
2006.0,2006,0,1,1.155
2006.5,2006,0,1,1.152
2007.0,2007,0,1,1.150
2007.5,2007,0,1,1.147
2008.0,2008,0,1,1.145
2008.5,2008,0,1,1.142
,,,,
2009.0,2009,0,1,1.140
2009.5,2009,0,1,1.137
2010.0,2010,0,1,1.033
2010.5,2010,0,1,1.029
2011.0,2011,0,1,1.025
2011.5,2011,0,1,1.021
2012.0,2012,0,1,1.017
2012.5,2012,0,1,1.014
2013.0,2013,0,1,1.010
2013.5,2013,0,1,1.006
2014.0,2014,0,1,1.002
2014.5,2014,0,1,0.999
2015.0,2015,0,1,0.995
2015.5,2015,0,1,0.991
0,0,0,0,0
