Project Name:,Neptune-RevengeStratigraphyM15/1618,
Combined Reporting,,
Number:,,
Tenement Numbers:,M 15/1658,
Tenement Operator(s):,ST IVES GOLD MINE,
Report Type:,Co-Funded Drilling,
Report Title:,Round252022-2023C0-fundedDrillingProgram,
Report Period:,1 June 2022 to 31 May 2023,
Author:,Jonathon FRANKLIN,
Submitted By:,Jonathon FRANKLIN,
Report Date:,29 May 2023,
Map Sheets:,"1:250,000 MapSheet","1:100,000MapSheet"
SH51-14(WIDGIEMOOLTHA),3235 (LAKE LEFROY),
Target Commodity:,GOLD,
Prospects Drilled:,Neptune-Revenge Stratigraphy,
PoW Number:,ID93883,
Geophysical Survey Reg No:,,
Assays:,AuAlCaCrFeK MgMnNaSSi Ti PBaCeClBrCsDy Er EuGaGeGdHf HoLaLu Nb,
NdPr RbSmSnTaTb ThTm U VW Y Yb Zr,,
