 Element, Range, Element, Range, Element, Range
 Ag, 0.05-500ppm, Hf, 0.05-2000ppm, Sb, 0.05ppm-1%
 Al, 50ppm-15%, In, 0.01-2000ppm, Sc, 0.1-5000ppm
 As, 0.5ppm-1%, , 20ppm-10%, Se, 0.5ppm-1%
 , 0.1-5000ppm, , 0.01-5000ppm, Sn, 0.1-2000ppm
 Be, 0.05-2000ppm, Li, 0.1-5000ppm, Sr, 0.05ppm-1%
 , 0.01ppm-1%, , 20ppm-40%, Ta, 0.01-2000ppm
 Ca, 50ppm-40%, , lppm-5%, Te, 0.2-2000ppm
 Cd, 0.02-2000ppm, IMo, 0.1ppm-1%, Th, 0.01-5000ppm
 Ce, 0.01ppm-1%, , 20ppm-10%, Ti, Sppm-2%
 Co, 0.1ppm-2%, INb, 0.05-2000ppm, TI, 0.02-2000ppm
 Cr, Lppm-2%, , 0.5ppm-2%, U, 0.0ippm-1%
 Cs, 0.05-2000ppm, , 50ppm-5%, , ippm-2%
 Cu, 0.5ppm-2%, Pb, 0.5ppm-1%, , 0.1-2000ppm
 Fe, LOOppm-50%, Rb, 0.05-2000ppm, , 0.05-2000ppm
 Ga, 0.05-2000ppm, Re, (0.002-2000ppm, Zn, ippm-2%
 Ge, 0.1-2000ppm, S, 500ppm-10%, Zr, 0.1-2000ppm
